name,rating,review_count,price,latitude,longitude,address,city,state,categories
SuperNormal,3.2,12,,36.14152,-86.84072,"105 45th Ave N, Nashville, TN 37209",Nashville,TN,"Burgers, Hot Dogs"
Pelato,4.4,480,$$$,36.177987,-86.786352,"1300 3rd Ave N, Nashville, TN 37208",Nashville,TN,Italian
The Detroit Cowboy,4.3,7,,36.16371,-86.79133,"500 11th Ave N, Nashville, TN 37203",Nashville,TN,"Steakhouses, Seafood, Bars"
Fishmonger,4.8,10,,36.18076,-86.78315,"1316 Adams St, Ste 112, Nashville, TN 37208",Nashville,TN,"Dive Bars, Seafood"
Lou|Na,4.3,62,,36.1579478,-86.7848552,"1000 Broadway, Grand Hyatt Nashville, Nashville, TN 37203",Nashville,TN,"Cocktail Bars, Tapas/Small Plates, Wine Bars"
"Ole Smoky Distillery ""6th & Peabody""",4.4,733,$$,36.15495,-86.7771,"423 6th Ave S, Nashville, TN 37203",Nashville,TN,"Distilleries, Breweries, Tacos"
The Optimist - Nashville,4.4,471,$$$,36.181477,-86.784165,"1400 Adams St, Nashville, TN 37208",Nashville,TN,Seafood
Luogo,4.4,415,$$$,36.15363,-86.78591,"211 12th Ave S, Nashville, TN 37203",Nashville,TN,Italian
Acme Feed & Seed,3.9,2038,$$,36.16203063848462,-86.77442228990864,"101 Broadway, Nashville, TN 37201",Nashville,TN,"Bars, American, Venues & Event Spaces"
Uzbegim,4.8,28,,36.146058654079006,-86.81338517055221,"117 28th Ave N, Nashville, TN 37203",Nashville,TN,"Halal, Uzbek, Turkish"
The Farm House,4.1,1006,$$,36.1590990661171,-86.7750539508915,"210 Almond St, Nashville, TN 37201",Nashville,TN,"Southern, New American"
Teddys Tavern,4.7,113,$$,36.160192,-86.778059,"104 Rep John Lewis Way S, Nashville, TN 37203",Nashville,TN,"Bars, Venues & Event Spaces, American"
The Southern Steak & Oyster,4.1,2673,$$$,36.15979332735311,-86.77454829108136,"150 3rd Ave S, Ste 110, Nashville, TN 37201",Nashville,TN,"Southern, Breakfast & Brunch, Steakhouses"
Blanco Cocina + Cantina,4.4,432,$$,36.16050914000834,-86.77902269261229,"530 Broadway, Nashville, TN 37203",Nashville,TN,"Cocktail Bars, Tacos, New Mexican Cuisine"
Calacas Mexican Cuisine,4.6,192,,36.1568446,-86.7747336,"411 Korean Veterans Blvd, Nashville, TN 37203",Nashville,TN,Mexican
Martin's Bar-B-Que Joint,4.1,3436,$$,36.156637,-86.774164,"410 4th Ave S, Nashville, TN 37201",Nashville,TN,"Barbeque, American, Chicken Wings"
All'Antico Vinaio - Gulch,4.3,16,,36.151053,-86.778935,"622 8th Ave S, Nashville, TN 37203",Nashville,TN,Italian
The Pharmacy Burger Parlor & Beer Garden,4.1,3711,$$,36.184945841836104,-86.7541885,"731 McFerrin Ave, Nashville, TN 37206",Nashville,TN,"Burgers, American, Beer Gardens"
Miranda Lambert's Casa Rosa,4.0,616,$$,36.16162325146119,-86.77658819325438,"308 Broadway, Nashville, TN 37201",Nashville,TN,"Mexican, Bars"
Folk,4.2,286,$$$,36.18556,-86.767987,"823 Meridian St, Nashville, TN 37207",Nashville,TN,New American
Biscuit Love: Gulch,4.2,5314,$$,36.1532075,-86.7836083,"316 11th Ave S, Nashville, TN 37203",Nashville,TN,"Southern, Breakfast & Brunch, American"
Jashan,4.7,98,,36.13161372676866,-86.8011037,"2100 21st Ave S, Nashville, TN 37212",Nashville,TN,Indian
Common Ground Bar and Eatery - Berry Hill,4.5,37,,36.112758,-86.7675,"734 Thompson Ln, Nashville, TN 37204",Nashville,TN,"Cocktail Bars, New American"
Bartaco - Nashville,4.4,1935,$$,36.1237424511334,-86.789593735582,"2526 12th Ave S, Nashville, TN 37204",Nashville,TN,"Mexican, Bars"
Barcelona Wine Bar,4.5,879,$$$,36.14271,-86.79167,"1200 Villa Pl, Ste 110, Nashville, TN 37212",Nashville,TN,"Tapas Bars, Wine Bars, Spanish"
Hattie B's Hot Chicken - Nashville - Lower Broadway,4.4,1129,$$,36.16032415832816,-86.77942111777925,"5069 Broadway Pl, Ste A-103, Nashville, TN 37203",Nashville,TN,"Chicken Shop, Sandwiches, Chicken Wings"
Kisser,4.7,133,,36.193848560385376,-86.7538463385215,"747 Douglas Ave, Nashville, TN 37207",Nashville,TN,Japanese
O-Ku,4.4,461,,36.181904603927094,-86.78491941104576,"81 Van Buren St, Nashville, TN 37208",Nashville,TN,"Sushi Bars, Asian Fusion, Japanese"
The Row,3.9,1864,$$,36.151356,-86.79772,"110 Lyle Ave, Nashville, TN 37203",Nashville,TN,"Southern, Pubs"
Ella’s by Christian Petroni,4.3,145,$$,36.159167,-86.7738051,"210 Molloy St, Nashville, TN 37201",Nashville,TN,"Breakfast & Brunch, Italian, Cocktail Bars"
Butcher & Bee,4.1,1226,$$,36.1759081,-86.7569761,"902 Main St, Nashville, TN 37206",Nashville,TN,"New American, Southern, Middle Eastern"
Present Tense,4.4,58,,36.14223742240688,-86.76385280363623,"301 Hart St, Nashville, TN 37210",Nashville,TN,"Izakaya, Cocktail Bars"
Kore,4.8,85,,36.1828,-86.73599,"97 Chapel Ave, Nashville, TN 37206",Nashville,TN,"Asian Fusion, Tapas/Small Plates, Korean"
Hand Cut Chophouse,4.0,182,,36.1575116158782,-86.7799476899761,"135 7th Ave S, Nashville, TN 37203",Nashville,TN,"Steakhouses, Cocktail Bars, American"
Only Chicken,4.9,93,,36.13669848646387,-86.8032314,"2127 Belcourt Ave, Nashville, TN 37212",Nashville,TN,"Chicken Shop, Turkish"
Black Tap - Nashville,4.6,12,,36.1626173,-86.7767210766639,"140 3rd Ave N, Nashville, TN 37201",Nashville,TN,"Burgers, New American, Beer Bar"
Twenty First,3.8,31,,36.13860528010847,-86.8003583035225,"1602 21st Ave S, Nashville, TN 37212",Nashville,TN,"American, Bars"
Redheaded Stranger,4.2,510,$$,36.1850434812045,-86.7679008134918,"305 Arrington St, Nashville, TN 37207",Nashville,TN,"Tacos, Tex-Mex"
Dos Santos,4.2,52,,36.14103940818134,-86.77036341881289,"475 Gray St, Ste 102, Nashville, TN 37203",Nashville,TN,"Mexican, Breakfast & Brunch, Cocktail Bars"
Sunda New Asian,4.2,671,$$,36.1516171,-86.7840928,"592 12th Ave S, Nashville, TN 37203",Nashville,TN,"Asian Fusion, Sushi Bars, Filipino"
Robert's Western World,4.4,1057,$,36.16085994836703,-86.77796640804529,"416 Broadway, Ste B, Nashville, TN 37203",Nashville,TN,"Music Venues, Dive Bars, American"
Nacho Daddy,4.0,84,,36.15023310149748,-86.7955351,"800 19th Ave S, Nashville, TN 37203",Nashville,TN,"Mexican, Breakfast & Brunch, Cocktail Bars"
Lainey Wilson's Bell Bottoms Up,3.9,70,$$,36.16089,-86.775226,"120 3rd Ave S, Nashville, TN 37201",Nashville,TN,"Cocktail Bars, Seafood, Burgers"
Choy,4.7,60,,36.15777088331556,-86.78833792658746,"121B 12th Ave N, Nashville, TN 37203",Nashville,TN,Chinese
Black Rabbit,4.1,272,$$,36.1649627685547,-86.7779006958008,"218 3rd Ave N, Nashville, TN 37201",Nashville,TN,"Tapas/Small Plates, Cocktail Bars, New American"
Kase X Noko,4.9,35,,36.1826059,-86.7327081,"701 Porter Rd, Nashville, TN 37206",Nashville,TN,"Japanese, Sushi Bars"
1 Kitchen,4.2,116,,36.157166611628504,-86.78066091489903,"710 Demonbreun St, Nashville, TN 37203",Nashville,TN,New American
The Lost Paddy,4.2,210,$$,36.13631517,-86.72404267,"709 Spence Ln, Nashville, TN 37217",Nashville,TN,"Sports Bars, Irish, Karaoke"
Puttshack - Nashville,4.0,151,$$,36.158850070029274,-86.78910375983165,"138 12th Ave N, Nashville, TN 37203",Nashville,TN,"Mini Golf, New American, Venues & Event Spaces"
Little Rey,4.0,26,,36.15025694552098,-86.80053135163632,"2019 West End Ave, Nashville, TN 37203",Nashville,TN,Mexican
Oak Steakhouse,4.4,509,$$$$,36.15554343647862,-86.78019352023512,"801 Clark Pl, Nashville, TN 37203",Nashville,TN,"Steakhouses, Seafood, New American"
Kosho By Tabu,4.8,43,,36.15391602527017,-86.77582609999999,"538 6th Ave S, Nashville, TN 37203",Nashville,TN,"Bars, Izakaya"
Sadie's,4.1,293,$$,36.14271,-86.79167,"1200 Villa Pl, Nashville, TN 37212",Nashville,TN,"Mediterranean, Cafes, Macarons"
North Italia,3.9,449,$$,36.107812,-86.8154375,"2159 Green Hills Village Dr, Nashville, TN 37215",Nashville,TN,"Italian, Cocktail Bars, Pizza"
The Bridge,4.1,33,$$,36.1610020933486,-86.78087842606956,"611 Commerce St, Nashville, TN 37203",Nashville,TN,"New American, Cocktail Bars, Comfort Food"
Lockeland Table,4.2,773,$$,36.1767768859863,-86.7420883178711,"1520 Woodland St, Nashville, TN 37206",Nashville,TN,New American
Turmeric & Co,4.7,31,,36.17832135146454,-86.75229619999999,"975 Main St, Nashville, TN 37206",Nashville,TN,"Indian, Wine Bars, Cocktail Bars"
Lyra,4.4,339,$$,36.1844653778005,-86.7542075738311,"935 W Eastland Ave, Nashville, TN 37206",Nashville,TN,Middle Eastern
Peachtree Grill,4.7,147,,36.120255,-86.749063,"329 Peachtree St, Nashville, TN 37210",Nashville,TN,"American, Mediterranean, Middle Eastern"
Superica,4.4,361,$$,36.151818,-86.782679,"605 Overton St, Nashville, TN 37203",Nashville,TN,"Tex-Mex, Bars, Mexican"
Morgan Wallen's This Bar,3.8,134,$$,36.161305,-86.777623,"107 4th Ave N, Nashville, TN 37219",Nashville,TN,"Salad, Beer Bar, Cocktail Bars"
Doughbird,4.1,198,$$,36.10303,-86.8169,"4031 Hillsboro Pike, Ste 901, Nashville, TN 37215",Nashville,TN,"Comfort Food, American, Pizza"
Pullman Standard,4.7,36,,36.155147,-86.782559,"209 10th Ave S, Ste 260, Nashville, TN 37203",Nashville,TN,"Cocktail Bars, Tapas/Small Plates"
NashHouse Southern Spoon and Saloon,3.4,472,$$,36.1578561,-86.7814243,"114 8th Ave S, Nashville, TN 37203",Nashville,TN,"Southern, Coffee & Tea, Breakfast & Brunch"
Shabu Shabu,4.0,243,,36.153297,-86.796022,"1722 West End Ave, Nashville, TN 37203",Nashville,TN,"Japanese, Hot Pot, Barbeque"
Deacon's New South,4.1,388,$$$,36.163356,-86.779038,"401 Church St, Nashville, TN 37219",Nashville,TN,"Steakhouses, Lounges"
BrickTop's,3.9,545,$$$,36.14382665765844,-86.81442340478536,"3000 W End Ave, Nashville, TN 37203",Nashville,TN,New American
JWB Grill,3.7,75,,36.1555209,-86.77577917430926,"425 Rep John Lewis Way S, Nashville, TN 37203",Nashville,TN,"Southern, Comfort Food, Seafood"
Marsh House,4.1,478,$$$,36.15223830702177,-86.78416581487352,"401 11th Ave S, Nashville, TN 37203",Nashville,TN,"Southern, Seafood, Cocktail Bars"
City House,3.8,843,$$,36.17696,-86.78711,"1222 4th Ave N, Nashville, TN 37208",Nashville,TN,"Italian, Southern"
Pancake Pantry,4.1,404,$$,36.1591313,-86.7737023,"220 Molloy St, Nashville, TN 37201",Nashville,TN,"Breakfast & Brunch, Venues & Event Spaces"
Jasper's,4.0,255,$$,36.151868,-86.799074,"1918 West End Ave, Nashville, TN 37203",Nashville,TN,"New American, Cocktail Bars"
